Accuracy,MacroPrecision,MacroRecall,MacroF1,WeightedF1,Dataset,Method,Seed,InferenceMsPerSample
97.15789473684211,95.69760319085235,94.94208496339363,95.28289799098864,97.11098385020976,CICIDS2017-7group,Random Forest,11,0.03487728421053984
98.0,96.6109073335412,96.97068887490757,96.78071740374534,98.0104563203476,CICIDS2017-7group,XGBoost,11,0.03936434868400714
91.86842105263158,90.90435399885281,91.8892418386607,91.1720306237779,91.84525521555588,CICIDS2017-7group,Raw + MLP,11,0.0035998971055194394
91.05263157894737,89.96575140544401,91.19766028203395,90.41295852665515,91.03976502655652,CICIDS2017-7group,AE latent + MLP,11,0.0033383136843966846
91.65789473684211,90.64832462648523,91.69924343127099,90.9397780687863,91.6286465757459,CICIDS2017-7group,Raw+AE concat + MLP,11,0.0037886984208805523
68.86842105263158,70.52058752815815,70.81243071751037,68.86649982785399,67.23812505937927,CICIDS2017-7group,Optimized Raw Transformer,11,1.1048071810527242
78.92105263157895,77.80084014305424,80.02864648624443,78.38663964910515,78.68892596833031,CICIDS2017-7group,Raw+AE Transformer (optimized protocol),11,2.8611882476309947
88.05263157894737,87.81238850840226,88.39042683532568,87.62407927576129,87.84931052775899,CICIDS2017-7group,Gated AE-T without focal,11,3.1179120773690796
85.15789473684211,85.3908619166431,85.86560103693121,85.28556258743562,85.1698429715488,CICIDS2017-7group,Optimized Gated AE-T,11,3.1980358644738627
97.28947368421052,95.9515166866476,96.23345065036844,96.08588399043948,97.30138169855506,CICIDS2017-7group,Random Forest,22,0.051353153947658076
97.73684210526315,96.21413748054948,96.826337674379,96.49626940249055,97.76573985845037,CICIDS2017-7group,XGBoost,22,0.0697806942107012
91.6842105263158,90.6491012535711,91.90990398609857,91.04904378965176,91.66168813722832,CICIDS2017-7group,Raw + MLP,22,0.012785418421117356
91.28947368421053,90.24584587366753,91.55196482381157,90.69447119765091,91.27003113367877,CICIDS2017-7group,AE latent + MLP,22,0.006488782894034796
90.55263157894737,89.6759336821642,90.8858555707458,89.98877012380237,90.5110492326615,CICIDS2017-7group,Raw+AE concat + MLP,22,0.006276888157835377
67.21052631578948,68.99357125800256,69.98464471387416,67.12734026083865,65.59608481613101,CICIDS2017-7group,Optimized Raw Transformer,22,1.231559683948083
59.28947368421053,62.64682469571851,62.2596546085569,60.134185753502145,58.9160730028417,CICIDS2017-7group,Raw+AE Transformer (optimized protocol),22,3.2060454957890645
86.13157894736842,85.58245203401698,86.60398641393044,85.66521692982488,85.87605385960119,CICIDS2017-7group,Gated AE-T without focal,22,3.365686060525676
82.71052631578948,82.87045822727022,83.88340594690142,82.37585248663638,82.76068492940313,CICIDS2017-7group,Optimized Gated AE-T,22,3.357430476052717
97.73684210526315,96.37226399303351,96.59153961263304,96.47812380801489,97.74280022332776,CICIDS2017-7group,Random Forest,33,0.057235198946727905
97.86842105263159,96.38369567474558,96.80464979130498,96.58274449931062,97.88494352524097,CICIDS2017-7group,XGBoost,33,0.07921910710520981
90.55263157894737,89.61968439084721,90.55747273246197,89.896160151095,90.53922926565791,CICIDS2017-7group,Raw + MLP,33,0.007459565000126052
91.07894736842105,89.98836951784668,91.03382246968127,90.39459253186062,91.08971951065686,CICIDS2017-7group,AE latent + MLP,33,0.007561927631238512
93.57894736842105,92.37460277360076,93.29819577753284,92.74371789691476,93.6238631399913,CICIDS2017-7group,Raw+AE concat + MLP,33,0.015979295526209938
63.39473684210526,66.44662867253153,65.81313793108885,63.75191175715011,62.02745734301048,CICIDS2017-7group,Optimized Raw Transformer,33,0.9309679389470579
52.13157894736842,55.61701453403093,55.640976758927685,50.934044846933865,51.16210601491821,CICIDS2017-7group,Raw+AE Transformer (optimized protocol),33,3.224678743947726
82.55263157894737,82.19213969341432,83.26354704271192,82.20447831815075,82.77107416427867,CICIDS2017-7group,Gated AE-T without focal,33,3.295691239210627
84.78947368421052,84.73252002758527,85.20324782119874,84.09267203707324,84.36788220735973,CICIDS2017-7group,Optimized Gated AE-T,33,3.1496423736835393
97.84210526315789,96.49294043131476,96.64010476537382,96.5623787515976,97.84363076524552,CICIDS2017-7group,Random Forest,44,0.037531141053094824
98.28947368421052,96.89077797635365,97.70179160773222,97.25504582606953,98.31534811484023,CICIDS2017-7group,XGBoost,44,0.04123806657892266
92.15789473684211,91.42464894213728,92.47992759142136,91.79685891666834,92.11740434207476,CICIDS2017-7group,Raw + MLP,44,0.0036813392101688997
92.89473684210526,91.84673276476391,93.09896574941774,92.36595615823025,92.89940863211793,CICIDS2017-7group,AE latent + MLP,44,0.021899549999369283
90.84210526315789,90.15591132374084,91.28666433294069,90.588804581162,90.84754935220815,CICIDS2017-7group,Raw+AE concat + MLP,44,0.0038711757894672794
50.8421052631579,60.70173642985856,54.56439112616469,52.77288105211962,49.742528365246805,CICIDS2017-7group,Optimized Raw Transformer,44,1.2379707097371513
67.21052631578948,69.477693298675,69.57318832695502,66.76519270167452,66.49444216040868,CICIDS2017-7group,Raw+AE Transformer (optimized protocol),44,3.2025430942102453
91.05263157894737,90.40110354003103,91.28989133982677,90.64643402623622,90.91282909944034,CICIDS2017-7group,Gated AE-T without focal,44,3.2611230676315914
84.36842105263158,84.74781929605955,85.24179450912125,84.4616554854684,84.05939908381012,CICIDS2017-7group,Optimized Gated AE-T,44,3.1934820171055005
97.84210526315789,96.75752221742745,96.4522981681828,96.5995562283582,97.82906294458091,CICIDS2017-7group,Random Forest,55,0.04009561947321728
97.65789473684211,96.31996899539452,96.56710250575941,96.43878825535175,97.66986196364998,CICIDS2017-7group,XGBoost,55,0.04261184789452512
91.21052631578948,90.1806116108948,91.33980075026138,90.62991834215379,91.19902412997266,CICIDS2017-7group,Raw + MLP,55,0.006488232631550329
87.81578947368422,87.13584964277777,88.26845180934721,87.57600445672182,87.82518568471356,CICIDS2017-7group,AE latent + MLP,55,0.008624146316594162
89.52631578947368,88.79253729884286,89.81654864005274,89.1149854449622,89.50466974440741,CICIDS2017-7group,Raw+AE concat + MLP,55,0.009590075263220473
75.39473684210526,76.15316429234946,77.02948063559342,76.06147320218753,75.01883545951301,CICIDS2017-7group,Optimized Raw Transformer,55,1.2014220378947165
76.89473684210526,76.97701969941154,78.29208315002548,76.09327751530542,75.88591331174257,CICIDS2017-7group,Raw+AE Transformer (optimized protocol),55,3.245612869736521
88.31578947368422,87.44918913429204,88.62501833078674,87.89791389784608,88.21589454133102,CICIDS2017-7group,Gated AE-T without focal,55,3.3540673063161144
