,,Accuracy,Accuracy,MacroPrecision,MacroPrecision,MacroRecall,MacroRecall,MacroF1,MacroF1,WeightedF1,WeightedF1,InferenceMsPerSample,InferenceMsPerSample
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Dataset,Method,,,,,,,,,,,,
CICIDS2017-7group,AE latent + MLP,90.82631578947368,1.84872869397689,89.83650984089998,1.6986673041357718,91.03017302685835,1.7469501560299852,90.28879657422375,1.7222814727409772,90.82482199754472,1.8450142334597381,0.009582544105126687,0.007163655202353857
CICIDS2017-7group,Gated AE-T without focal,87.22105263157894,3.1445221243587587,86.68745458203134,3.044084058834463,87.63457399251631,2.9614872011286573,86.80762448956384,3.125933371751058,87.12503243848205,3.0240230888178123,3.278895950210618,0.09962055564749378
CICIDS2017-7group,Optimized Gated AE-T,84.65789473684211,1.296169511160494,84.72773427525502,1.14639097636794,85.48641566497787,1.2167163343641938,84.44672712454056,1.3771625585634089,84.51313514929332,1.2846630206529983,3.244951708947491,0.09107911904621514
CICIDS2017-7group,Optimized Raw Transformer,65.1421052631579,9.094277674812483,68.56313763618004,5.654790600537741,67.6408170248463,8.337160655771607,65.71602122002999,8.519511679033933,63.92460620865611,9.241018292845958,1.1413455103159467,0.12911040575187874
CICIDS2017-7group,Random Forest,97.57368421052631,0.325721019931911,96.25436930385513,0.42593614761130316,96.17189563199034,0.7053668808248553,96.20176815387977,0.552810844354542,97.5655718963838,0.3371204900540501,0.044218479526247585,0.009608784579339641
CICIDS2017-7group,Raw + MLP,91.49473684210527,0.6292170749620687,90.55568003926064,0.6895962926512255,91.6352693797808,0.7249691364724473,90.90880236466936,0.7037083493802627,91.47252021809791,0.6197627621601889,0.006802890473696416,0.003752469867979427
CICIDS2017-7group,Raw+AE Transformer (optimized protocol),66.88947368421051,11.407483450365383,68.50387847417804,9.480931850078692,69.1589098661419,10.393169555859377,66.46266809330422,11.360117575252664,66.2294920916483,11.500721540407744,3.14801369026291,0.16125531865560974
CICIDS2017-7group,Raw+AE concat + MLP,91.23157894736842,1.5176021690450732,90.32946194096678,1.3326318691675143,91.39730155050862,1.272513763160716,90.67521122312553,1.3473759168096155,91.22315560900286,1.5434692086043194,0.007901226631522724,0.005096569442234671
CICIDS2017-7group,XGBoost,97.91052631578948,0.2486807295774173,96.48389749211688,0.26989194520881227,96.97411409081664,0.43178141146979043,96.71071307739356,0.3307203888914509,97.92926995650583,0.2508221492676327,0.05444281289467319,0.018646799317322695
